节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
诊断标准,持续时间,诊断,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
诊断标准,程度,诊断,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
检查与测试,年龄,诊断,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
检查与测试,性别,诊断,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
检查与测试,年龄,诊断,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
检查与测试,性别,诊断,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
检查与测试,性别,诊断,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
检查与测试,年龄,诊断,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
诊断标准,程度,诊断,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
诊断标准,CA,诊断,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
检查与测试,年龄,诊断,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
诊断标准,程度,诊断,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
检查与测试,温度,诊断,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
诊断标准,持续时间,诊断,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
检查与测试,环境,诊断,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
检查与测试,年龄,诊断,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
诊断标准,睡眠日记,诊断,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
诊断标准,CA,诊断,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
诊断标准,程度,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,年龄,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,性别,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,噪音,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,光线,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,环境,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
诊断标准,睡眠日记,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,生活习惯,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
诊断标准,持续时间,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
诊断标准,CA,诊断,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
检查与测试,环境,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
检查与测试,年龄,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,骨密度,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,程度,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,腕部体动仪,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,生殖激素六项,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,盆腔彩超,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,乳腺彩超,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,生化全项,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
检查与测试,温度,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
检查与测试,湿度,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
诊断标准,CA,诊断,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
检查与测试,环境,诊断,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
诊断标准,程度,诊断,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
检查与测试,年龄,诊断,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
诊断标准,程度,诊断,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
检查与测试,性别,诊断,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
检查与测试,年龄,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,持续时间,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,程度,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,性别,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,低通气的次数,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,噪音,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,环境,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,CA,诊断,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,噪音,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,环境,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,体动记录仪,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,生活习惯,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,程度,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,年龄,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,睡眠日记,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,光线,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
诊断标准,CA,诊断,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
检查与测试,性别,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,程度,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
检查与测试,年龄,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,持续时间,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,睡眠日记,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,艾普沃斯嗜睡量表,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
检查与测试,环境,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,CA,诊断,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
诊断标准,CA,诊断,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
诊断标准,程度,诊断,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
检查与测试,性别,诊断,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
检查与测试,年龄,诊断,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
