节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
易感因素 ,多导睡眠监测,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,睡眠记录,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,物质滥用,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,抗抑郁药,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,临床症状,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,脑电图,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,肌电图,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,眼动电图,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,呼吸气流,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,血氧饱和度,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,心电图,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,患者的症状,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,充血性心力衰竭,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,酒精依赖,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,慢性疾病,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,绝经,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,扁桃体肥大,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,下颌后缩,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,小下颌,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,终末期肾病,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,智力缺陷,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,舌体肥大,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,不良习惯,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,脑脊液下丘脑分泌素测定,风险评估,睡眠障碍,疾病病种,《睡眠医学》
易感因素 ,多巴胺能系统受损,风险评估,睡眠障碍,疾病病种,《睡眠医学》
