节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
症状与临床表现 ,呼吸暂停,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
症状与临床表现 ,日间嗜睡,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
症状与临床表现 ,打鼾,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
睡眠障碍相关疾病,高血压,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
睡眠障碍相关疾病,冠心病,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
睡眠障碍相关疾病,肥胖,关联,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
睡眠障碍相关疾病,肥胖,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
睡眠障碍相关疾病,高血压,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
睡眠障碍相关疾病,冠心病,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
症状与临床表现 ,呼吸暂停,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
症状与临床表现 ,日间嗜睡,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
症状与临床表现 ,打鼾,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
症状与临床表现 ,入睡困难,关联,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
睡眠障碍相关疾病,多发性硬化,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
症状与临床表现 ,入睡困难,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
症状与临床表现 ,睡眠维持困难,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
睡眠障碍相关疾病,抑郁症,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
睡眠障碍相关疾病,焦虑症,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
症状与临床表现 ,呼吸暂停,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
睡眠障碍相关疾病,肥胖,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
症状与临床表现 ,日间嗜睡,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
睡眠障碍相关疾病,帕金森病,关联,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
症状与临床表现 ,呼吸暂停,关联,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
症状与临床表现 ,打鼾,关联,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
