节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
并发症 ,糖尿病,共现,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
并发症 ,心血管疾病,共现,成年人阻塞性睡眠呼吸暂停低通气综合征,疾病病种,《成年人阻塞性睡眠呼吸暂停低通气综合征筛查：美国预防临床服务指南工作组推荐声明》解读
并发症 ,糖尿病,共现,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
并发症 ,心血管疾病,共现,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
并发症 ,心力衰竭,共现,阻塞性睡眠呼吸暂停,疾病病种,成人阻塞性睡眠呼吸暂停高危人群筛查与管理专家共识
并发症 ,糖尿病,共现,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
并发症 ,高碳酸血症,共现,多发性硬化,疾病病种,多发性硬化合并睡眠障碍研究进展
并发症 ,糖尿病,共现,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
并发症 ,肥胖,共现,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
并发症 ,糖尿病,共现,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
并发症 ,冠心病,共现,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
并发症 ,肾病,共现,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
并发症 ,肾病,共现,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
并发症 ,糖尿病,共现,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
并发症 ,心血管疾病,共现,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
并发症 ,心力衰竭,共现,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
并发症 ,心血管疾病,共现,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
并发症 ,肾病,共现,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
并发症 ,心力衰竭,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,糖尿病,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,高碳酸血症,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,心血管疾病,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,肾病,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,动脉粥样硬化,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,瘦素,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,夜间低氧血症,共现,睡眠医学,疾病病种,睡眠医学_14370617
并发症 ,糖尿病,共现,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
并发症 ,动脉粥样硬化,共现,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
并发症 ,心血管疾病,共现,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
并发症 ,高碳酸血症,共现,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
并发症 ,糖尿病,共现,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
并发症 ,心血管疾病,共现,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
并发症 ,糖尿病,共现,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
并发症 ,心力衰竭,共现,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
并发症 ,糖尿病,共现,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
并发症 ,糖尿病,共现,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
并发症 ,心力衰竭,共现,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
并发症 ,心力衰竭,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,糖尿病,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,高碳酸血症,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,心血管疾病,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,肾病,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,动脉粥样硬化,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,瘦素,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,夜间低氧血症,共现,睡眠障碍,疾病病种,《睡眠医学》
并发症 ,视网膜病变,共现,睡眠障碍,疾病病种,《睡眠医学》
